gen,reward
244,286.77183272170635
245,377.19865475319546
246,265.98454476612085
247,309.176266537488
248,331.4093382391193
249,385.225343646113
250,344.6315152382694
251,329.7088185889827
252,280.26653535548775
253,307.2487528430033
254,288.22489880906767
255,259.4916199711065
256,367.15566975837146
257,354.24012839490865
258,407.7124326837566
259,397.63256387813425
260,354.00953003225754
261,367.97004862256716
262,385.35975077914827
263,343.5056025381718
264,370.8971454861247
265,365.97064005690754
266,338.7778118423121
267,353.7693271102412
268,372.0909388836076
269,384.8351655952035
270,394.6375594236457
271,398.12810709063905
272,370.1249598866674
273,382.49138521352603
274,393.1611596285087
275,391.3166016986775
276,384.6759329225246
277,357.08293212249174
278,506.81965097976246
279,379.2189224980201
280,402.52916794908805
281,294.8805436916177
282,430.4999006064354
283,397.2533112136605
284,404.62035953806463
285,416.7984736495853
286,420.08527195512227
287,432.89000713160954
288,389.72754670376924
289,402.1340580342577
290,381.2151040746592
291,385.2486802273902
292,357.812406244548
293,360.74453220843094
294,356.03040233977777
295,384.80197578988776
296,387.24609091530004
297,378.58200236370726
298,460.0421762620548
299,355.3882639002254
300,396.46665973557344
301,407.26136277487785
302,284.5457444964534
303,350.3832427818803
304,398.1225353430641
305,457.32326601054814
306,410.5340889250809
307,412.33011741406375
308,395.22688222075124
309,382.270188423719
310,354.12110188950544
311,339.54326294641794
312,360.1833539368529
313,404.1232546643056
314,422.9930940903614
315,386.4569731341078
316,266.50522498303826
317,438.5929034525185
318,416.7756275330788
319,392.4372846865531
320,379.8002486018851
321,435.454258967113
322,342.11016672563255
323,256.3133473722484
324,389.600832562126
325,281.2391856221897
326,468.1253104279218
327,405.0725301680841
328,385.17242216561647
329,431.02141229763527
330,328.94234209708804
331,356.4307529720895
332,373.13474205824866
333,306.2006903762126
334,366.13114705327996
335,401.67746868672066
336,257.5879447779947
337,339.00593613700414
338,349.8572959294091
339,372.9617411144327
340,390.4201915562724
341,289.33948092845264
342,301.0675664752711
343,492.6475765865423
344,428.9100132867062
345,381.5200539189268
346,422.05193137081477
347,415.10425675458555
348,346.45320587137917
349,353.3270705732024
350,437.37573828806774
351,478.9364445406261
352,459.21671195924273
353,366.6905077723477
354,437.09942781457704
355,444.5204781040389
356,407.6395541136943
357,317.54475606057264
358,366.6112320812995
359,388.12782565602873
360,415.3513853099961
361,400.64954133549395
362,442.43565691479427
363,446.65037517420785
364,386.1020455263415
365,379.4829519116298
366,385.8050124950295
367,322.8403536680637
368,398.7364271619037
369,380.4248523986888
370,475.6292545382454
371,391.30308362583907
372,550.821320452781
373,368.7378693748738
374,377.3412477815467
375,384.5410590670466
376,376.3548966768588
377,444.6365649593389
378,359.9743867953254
379,375.82922127126744
380,412.10286992993395
381,471.9101559873192
382,478.80470404185496
383,321.8201770459426
384,397.1623926194827
385,437.59582930979684
386,342.2449838867178
387,401.31796266011054
388,350.87147524394334
389,419.0531092243225
390,402.93675186781627
391,422.08957537384083
392,385.71864795375274
393,423.97531981646614
394,336.4751732820314
